Image Name,Disk Size
tata-hybrid-vprod,
versa-poc-large-vprod,
versapoc2-basic-simple-cloud-prod-latest-1323042021,
versa-poc-small-vprod,
aar-tata-salesdemo-v59,
versa-security-salesdemo-v2,
tata-ciscosalesdemo-new-v9,
versa-sdwan-salesdemo-v12,
tata-ciscosalesdemo-new-dev-v11,
versa-sdwan-salesdemo-tcx-v29,
tata-ciscosalesdemo-new-v9,
